person,age,gender,loyalty,income,amount,reward,transaction,completed,received,rev_comp_ratio
0009655768c64bdeb2e877511632db8f,33.0,M,461.0,72000.0,127.6,9.0,8,3,5,0.6
0011e0d4e6b944f998e987f904e8c1e5,40.0,O,198.0,57000.0,79.46000000000001,13.0,5,3,5,0.6
0020c2b971eb4e9188eac86d93036a77,59.0,F,874.0,90000.0,196.86,14.0,8,3,5,0.6
0020ccbbb6d84e358d3414a3ff76cffd,24.0,F,622.0,60000.0,154.04999999999998,13.0,12,3,4,0.75
003d66b6608740288d6cc97a6903f4f0,26.0,F,400.0,73000.0,48.34000000000001,9.0,18,3,5,0.6
00426fe3ffde4c6b9cb9ad6d077a13ea,19.0,F,716.0,65000.0,68.50999999999999,2.0,17,1,5,0.2
004b041fbfe44859945daa2c7f79ee64,55.0,F,79.0,74000.0,138.36,7.0,6,2,3,0.6666666666666666
004c5799adbf42868b9cff0396190900,54.0,M,847.0,99000.0,347.37999999999994,24.0,12,5,5,1.0
005500a7188546ff8a767329a2f7c76a,56.0,M,229.0,47000.0,20.360000000000003,5.0,4,1,5,0.2
0056df74b63b4298809f0b375a304cf4,54.0,M,704.0,91000.0,144.14,13.0,5,3,4,0.75
00715b6e55c3431cb56ff7307eb19675,58.0,F,231.0,119000.0,375.11999999999995,32.0,15,5,6,0.8333333333333334
0082fd87c18f45f2be70dbcbb0fb8aad,28.0,F,321.0,68000.0,121.85,10.0,7,2,5,0.4
00840a2ca5d2408e982d56544dc14ffd,26.0,M,1313.0,61000.0,62.93,9.0,17,3,6,0.5
0091d2b6a5ea4defaa8393e4e816db60,62.0,F,769.0,81000.0,279.15999999999997,25.0,12,4,5,0.8
0099bf30e4cb4265875266eb3eb25eab,61.0,M,162.0,66000.0,105.83,7.0,9,2,5,0.4
00a794f62b9a48beb58f8f6c02c2f1a6,88.0,F,1006.0,54000.0,166.4,5.0,11,1,5,0.2
00ae03011f9f49b8a4b3e6d416678b0b,55.0,M,984.0,83000.0,218.04999999999995,26.0,8,4,6,0.6666666666666666
00b18b535d6d4f779dea4dc9ac451478,72.0,M,475.0,102000.0,133.25,8.0,5,3,5,0.6
00b3400e4ff64ee68ce9ada1d0c222f0,62.0,M,700.0,80000.0,163.92,17.0,10,3,5,0.6
00b3c376db2a4115af3aef34a02f61d6,50.0,M,394.0,104000.0,219.63,25.0,8,3,3,1.0
00bbce6533f44ddeaf4dd32bcab55441,94.0,M,1336.0,50000.0,77.21000000000001,9.0,7,3,4,0.75
00bc42a62f884b41a13cc595856cf7c3,44.0,M,927.0,72000.0,150.64,19.0,8,5,5,1.0
00bc983061d3471e8c8e74d31b7c8b6f,59.0,M,283.0,77000.0,63.49999999999999,10.0,3,1,4,0.25
00c20a9202d5475190b31a24de6fb06d,52.0,O,872.0,80000.0,164.01,23.0,8,4,4,1.0
00c2f812f4604c8893152a5c6572030e,58.0,F,26.0,102000.0,124.09,14.0,5,3,5,0.6
00c6035df45840038a72766c6d27a0db,47.0,M,516.0,86000.0,241.54999999999998,15.0,11,3,4,0.75
00c91f31f5f74e769fa7a359b63e1a9f,22.0,F,618.0,49000.0,134.74000000000004,8.0,14,3,5,0.6
00cf1bbec83f4a658f8994e556db4633,53.0,M,72.0,73000.0,64.27000000000001,4.0,3,2,3,0.6666666666666666
00cf471ed1aa42a8bdde5561d67da2b1,53.0,M,179.0,40000.0,26.18,5.0,8,1,5,0.2
00d6dc87be4146ceb47fcd4baaaf6477,58.0,F,227.0,115000.0,334.64000000000004,24.0,12,5,6,0.8333333333333334
00d791e20c564add8056498e40eb56cc,22.0,M,945.0,32000.0,59.62,23.0,19,4,5,0.8
00d7c95f793a4212af44e632fdc1e431,71.0,M,574.0,75000.0,162.42,21.0,7,5,5,1.0
00d91c5919514448bc4f718e4e3f26ab,45.0,M,182.0,88000.0,44.599999999999994,10.0,2,1,5,0.2
00e20b4ca129458aaab0f4727ef3513a,82.0,F,1323.0,33000.0,191.54999999999998,4.0,20,2,3,0.6666666666666666
00e52682848542c3a6f59b7824e9a5c5,40.0,M,646.0,65000.0,23.07,5.0,2,1,5,0.2
00e8d701c583461e81cc10053681a12b,35.0,M,150.0,70000.0,30.98,3.0,7,1,4,0.25
00e9f403afa641889cd034ee7c7ca6e9,73.0,M,830.0,45000.0,614.59,13.0,17,3,5,0.6
00ed7e22b32749cfafbfd88592d401d4,55.0,M,725.0,94000.0,236.95999999999998,9.0,11,3,4,0.75
00fac72fd6ad448e8019b175267023df,57.0,M,467.0,80000.0,186.23,30.0,10,4,4,1.0
00fbb9b5edb94f02afbaf1eb49bb4d7d,56.0,F,153.0,91000.0,80.1,10.0,3,1,3,0.3333333333333333
00fdd4416dec40b49180814c0a7c8d76,55.0,M,618.0,104000.0,76.65,2.0,3,1,3,0.3333333333333333
0103de989e084e0fab400e80678d7591,19.0,M,731.0,50000.0,144.97,22.0,11,5,5,1.0
01162252405b4524a8fa1bf8e6d5f04b,68.0,F,485.0,32000.0,129.85999999999999,16.0,18,4,6,0.6666666666666666
01176ee7289b48e39ee6261d5c071a07,52.0,M,86.0,38000.0,20.200000000000003,2.0,5,1,4,0.25
0121fe001b7a404fa9cbe486f8944baf,86.0,F,105.0,109000.0,191.68,17.0,6,3,6,0.5
0123564dbaf144a88a418c33b6350c17,54.0,F,312.0,117000.0,176.74,7.0,6,2,5,0.4
013094309e1b49e095c098df412d125d,58.0,M,1371.0,54000.0,69.17999999999999,10.0,20,3,5,0.6
01380da907f8495496679c795867790b,86.0,F,399.0,73000.0,154.99,15.0,8,2,4,0.5
013f2c82889f4641a9b847a48861cce0,67.0,M,339.0,79000.0,186.54,15.0,9,3,4,0.75
01443a2afce54939a323c978f467c540,61.0,F,1020.0,118000.0,417.92999999999995,27.0,16,5,5,1.0
014899c751254a62a96ce676eb11ddc2,52.0,F,854.0,115000.0,287.10999999999996,14.0,10,3,6,0.5
0157e63b39c5456393026c6c03f3d84a,70.0,F,259.0,76000.0,199.64999999999998,20.0,10,3,3,1.0
015c3d28c67e46aa95e9ec97c27220e8,56.0,M,856.0,99000.0,235.41,19.0,10,5,5,1.0
015ef929e016415098eeae8ce59da721,44.0,F,554.0,35000.0,18.28,2.0,3,1,5,0.2
016086228d58476599d0b47881c25509,84.0,F,285.0,74000.0,83.2,7.0,5,2,4,0.5
01633b71b3a2457aa7d35d8bcc3afb5a,62.0,M,1058.0,90000.0,161.51000000000002,27.0,8,4,4,1.0
016871ea865d4338975026ae08d221d0,57.0,F,55.0,79000.0,45.79,2.0,3,1,6,0.16666666666666666
016edb1d1d67477391c5337545a5d98a,66.0,F,940.0,57000.0,131.04999999999998,9.0,9,3,6,0.5
017160c1cdb845d48abec3c330b4427e,68.0,F,955.0,76000.0,198.08999999999997,17.0,9,3,4,0.75
01772eae932447f9a853461a60820dc6,54.0,F,378.0,30000.0,58.28000000000001,5.0,8,1,4,0.25
01784d3e205548a594ba3fcdbdaaf17d,20.0,M,936.0,43000.0,151.82999999999998,25.0,13,3,4,0.75
017a93d1204f457bbe85f5e7de062b56,56.0,M,262.0,35000.0,110.51999999999998,7.0,13,2,5,0.4
017febbe52e64ac19cf28cf0d44386e4,61.0,M,1062.0,100000.0,1003.4100000000001,18.0,10,3,6,0.5
01873cc8de734961949af7c04b2e9872,72.0,M,185.0,45000.0,50.55,2.0,18,1,5,0.2
01887dcd32b64feb807e2436548b6c87,61.0,M,285.0,78000.0,64.33000000000001,8.0,3,2,6,0.3333333333333333
018a49ffb8cf4812903e7c1f56fbb0b0,61.0,M,601.0,34000.0,98.65,20.0,13,4,5,0.8
018b8f83176d471db63d9733c741fc8a,75.0,F,85.0,109000.0,37.04,10.0,2,2,2,1.0
01925607d99c460996c281f17cdbb9e2,57.0,F,980.0,116000.0,54.620000000000005,25.0,2,3,4,0.75
01956670cf414b309675aa73368b94a9,52.0,M,700.0,95000.0,248.64999999999998,27.0,10,5,5,1.0
