person,offer_id,time,event,reward_x,amount,offer_type,view,complete,gender,age,became_member_on,income,loyalty
0011e0d4e6b944f998e987f904e8c1e5,2298d6c36e964ae4a3e7e9706d1fb8c2,252,offer completed,3.0,,discount,1,1,O,40.0,2018-01-09,57000.0,198.0
0011e0d4e6b944f998e987f904e8c1e5,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,offer completed,5.0,,discount,1,1,O,40.0,2018-01-09,57000.0,198.0
0011e0d4e6b944f998e987f904e8c1e5,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,offer completed,5.0,,bogo,1,1,O,40.0,2018-01-09,57000.0,198.0
0020c2b971eb4e9188eac86d93036a77,fafdcd668e3743c1bb461111dcafc2a4,54,offer completed,2.0,,discount,1,1,F,59.0,2016-03-04,90000.0,874.0
0020c2b971eb4e9188eac86d93036a77,fafdcd668e3743c1bb461111dcafc2a4,510,offer completed,2.0,,discount,1,1,F,59.0,2016-03-04,90000.0,874.0
0020c2b971eb4e9188eac86d93036a77,4d5c57ea9a6940dd891ad53e9dbe8da0,510,offer completed,10.0,,bogo,1,1,F,59.0,2016-03-04,90000.0,874.0
0020ccbbb6d84e358d3414a3ff76cffd,2298d6c36e964ae4a3e7e9706d1fb8c2,222,offer completed,3.0,,discount,1,1,F,24.0,2016-11-11,60000.0,622.0
0020ccbbb6d84e358d3414a3ff76cffd,f19421c1d4aa40978ebb69ca19b0e20d,378,offer completed,5.0,,bogo,1,1,F,24.0,2016-11-11,60000.0,622.0
0020ccbbb6d84e358d3414a3ff76cffd,9b98b8c7a33c4b65b9aebfe6a799e6d9,600,offer completed,5.0,,bogo,1,1,F,24.0,2016-11-11,60000.0,622.0
003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,384,offer completed,2.0,,discount,1,1,F,26.0,2017-06-21,73000.0,400.0
003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,504,offer completed,2.0,,discount,1,1,F,26.0,2017-06-21,73000.0,400.0
00426fe3ffde4c6b9cb9ad6d077a13ea,fafdcd668e3743c1bb461111dcafc2a4,258,offer completed,2.0,,discount,1,1,F,19.0,2016-08-09,65000.0,716.0
004b041fbfe44859945daa2c7f79ee64,f19421c1d4aa40978ebb69ca19b0e20d,534,offer completed,5.0,,bogo,1,1,F,55.0,2018-05-08,74000.0,79.0
004b041fbfe44859945daa2c7f79ee64,fafdcd668e3743c1bb461111dcafc2a4,714,offer completed,2.0,,discount,1,1,F,55.0,2018-05-08,74000.0,79.0
004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,222,offer completed,2.0,,discount,1,1,M,54.0,2016-03-31,99000.0,847.0
004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,432,offer completed,5.0,,bogo,1,1,M,54.0,2016-03-31,99000.0,847.0
004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,558,offer completed,5.0,,bogo,1,1,M,54.0,2016-03-31,99000.0,847.0
004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,576,offer completed,2.0,,discount,1,1,M,54.0,2016-03-31,99000.0,847.0
0056df74b63b4298809f0b375a304cf4,9b98b8c7a33c4b65b9aebfe6a799e6d9,132,offer completed,5.0,,bogo,1,1,M,54.0,2016-08-21,91000.0,704.0
0069a50874d846438e58acff5e594725,2906b810c7d4411798c6938adc9daaa5,696,offer completed,2.0,,discount,1,1,,,,,
00715b6e55c3431cb56ff7307eb19675,0b1e1539f2cc45b7b9fa7c272da2e1d7,666,offer completed,5.0,,discount,1,1,F,58.0,2017-12-07,119000.0,231.0
0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,366,offer completed,5.0,,bogo,1,1,F,28.0,2017-09-08,68000.0,321.0
0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,450,offer completed,5.0,,bogo,1,1,F,28.0,2017-09-08,68000.0,321.0
00840a2ca5d2408e982d56544dc14ffd,fafdcd668e3743c1bb461111dcafc2a4,246,offer completed,2.0,,discount,1,1,M,26.0,2014-12-21,61000.0,1313.0
00840a2ca5d2408e982d56544dc14ffd,2906b810c7d4411798c6938adc9daaa5,540,offer completed,2.0,,discount,1,1,M,26.0,2014-12-21,61000.0,1313.0
0091d2b6a5ea4defaa8393e4e816db60,4d5c57ea9a6940dd891ad53e9dbe8da0,6,offer completed,10.0,,bogo,1,1,F,62.0,2016-06-17,81000.0,769.0
0091d2b6a5ea4defaa8393e4e816db60,0b1e1539f2cc45b7b9fa7c272da2e1d7,300,offer completed,5.0,,discount,1,1,F,62.0,2016-06-17,81000.0,769.0
0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,408,offer completed,5.0,,bogo,1,1,F,62.0,2016-06-17,81000.0,769.0
0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,540,offer completed,5.0,,bogo,1,1,F,62.0,2016-06-17,81000.0,769.0
0099bf30e4cb4265875266eb3eb25eab,fafdcd668e3743c1bb461111dcafc2a4,234,offer completed,2.0,,discount,1,1,M,61.0,2018-02-14,66000.0,162.0
00a794f62b9a48beb58f8f6c02c2f1a6,f19421c1d4aa40978ebb69ca19b0e20d,534,offer completed,5.0,,bogo,1,1,F,88.0,2015-10-24,54000.0,1006.0
00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,402,offer completed,3.0,,discount,1,1,M,55.0,2015-11-15,83000.0,984.0
00ae03011f9f49b8a4b3e6d416678b0b,ae264e3637204a6fb9bb56bc8210ddfd,618,offer completed,10.0,,bogo,1,1,M,55.0,2015-11-15,83000.0,984.0
00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,618,offer completed,3.0,,discount,1,1,M,55.0,2015-11-15,83000.0,984.0
00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,156,offer completed,3.0,,discount,1,1,M,72.0,2017-04-07,102000.0,475.0
00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,228,offer completed,3.0,,discount,1,1,M,72.0,2017-04-07,102000.0,475.0
00b18b535d6d4f779dea4dc9ac451478,fafdcd668e3743c1bb461111dcafc2a4,702,offer completed,2.0,,discount,1,1,M,72.0,2017-04-07,102000.0,475.0
00b3400e4ff64ee68ce9ada1d0c222f0,fafdcd668e3743c1bb461111dcafc2a4,606,offer completed,2.0,,discount,1,1,M,62.0,2016-08-25,80000.0,700.0
00b3c376db2a4115af3aef34a02f61d6,ae264e3637204a6fb9bb56bc8210ddfd,252,offer completed,10.0,,bogo,1,1,M,50.0,2017-06-27,104000.0,394.0
00bbce6533f44ddeaf4dd32bcab55441,2906b810c7d4411798c6938adc9daaa5,468,offer completed,2.0,,discount,1,1,M,94.0,2014-11-28,50000.0,1336.0
00bbce6533f44ddeaf4dd32bcab55441,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,offer completed,5.0,,bogo,1,1,M,94.0,2014-11-28,50000.0,1336.0
00bc42a62f884b41a13cc595856cf7c3,2906b810c7d4411798c6938adc9daaa5,18,offer completed,2.0,,discount,1,1,M,44.0,2016-01-11,72000.0,927.0
00bc42a62f884b41a13cc595856cf7c3,ae264e3637204a6fb9bb56bc8210ddfd,390,offer completed,10.0,,bogo,1,1,M,44.0,2016-01-11,72000.0,927.0
00bc42a62f884b41a13cc595856cf7c3,2298d6c36e964ae4a3e7e9706d1fb8c2,486,offer completed,3.0,,discount,1,1,M,44.0,2016-01-11,72000.0,927.0
00bc42a62f884b41a13cc595856cf7c3,2906b810c7d4411798c6938adc9daaa5,540,offer completed,2.0,,discount,1,1,M,44.0,2016-01-11,72000.0,927.0
00bc42a62f884b41a13cc595856cf7c3,fafdcd668e3743c1bb461111dcafc2a4,618,offer completed,2.0,,discount,1,1,M,44.0,2016-01-11,72000.0,927.0
00bc983061d3471e8c8e74d31b7c8b6f,ae264e3637204a6fb9bb56bc8210ddfd,282,offer completed,10.0,,bogo,1,1,M,59.0,2017-10-16,77000.0,283.0
00c20a9202d5475190b31a24de6fb06d,f19421c1d4aa40978ebb69ca19b0e20d,54,offer completed,5.0,,bogo,1,1,O,52.0,2016-03-06,80000.0,872.0
00c20a9202d5475190b31a24de6fb06d,4d5c57ea9a6940dd891ad53e9dbe8da0,576,offer completed,10.0,,bogo,1,1,O,52.0,2016-03-06,80000.0,872.0
00c20a9202d5475190b31a24de6fb06d,0b1e1539f2cc45b7b9fa7c272da2e1d7,594,offer completed,5.0,,discount,1,1,O,52.0,2016-03-06,80000.0,872.0
00c2f812f4604c8893152a5c6572030e,4d5c57ea9a6940dd891ad53e9dbe8da0,582,offer completed,10.0,,bogo,1,1,F,58.0,2018-06-30,102000.0,26.0
00c6035df45840038a72766c6d27a0db,fafdcd668e3743c1bb461111dcafc2a4,48,offer completed,2.0,,discount,1,1,M,47.0,2017-02-25,86000.0,516.0
00c6035df45840038a72766c6d27a0db,ae264e3637204a6fb9bb56bc8210ddfd,180,offer completed,10.0,,bogo,1,1,M,47.0,2017-02-25,86000.0,516.0
00c6035df45840038a72766c6d27a0db,2298d6c36e964ae4a3e7e9706d1fb8c2,594,offer completed,3.0,,discount,1,1,M,47.0,2017-02-25,86000.0,516.0
00c91f31f5f74e769fa7a359b63e1a9f,2298d6c36e964ae4a3e7e9706d1fb8c2,342,offer completed,3.0,,discount,1,1,F,22.0,2016-11-15,49000.0,618.0
00c91f31f5f74e769fa7a359b63e1a9f,2298d6c36e964ae4a3e7e9706d1fb8c2,666,offer completed,3.0,,discount,1,1,F,22.0,2016-11-15,49000.0,618.0
00cf1bbec83f4a658f8994e556db4633,fafdcd668e3743c1bb461111dcafc2a4,564,offer completed,2.0,,discount,1,1,M,53.0,2018-05-15,73000.0,72.0
00cf1bbec83f4a658f8994e556db4633,2906b810c7d4411798c6938adc9daaa5,564,offer completed,2.0,,discount,1,1,M,53.0,2018-05-15,73000.0,72.0
00d6dc87be4146ceb47fcd4baaaf6477,9b98b8c7a33c4b65b9aebfe6a799e6d9,36,offer completed,5.0,,bogo,1,1,F,58.0,2017-12-11,115000.0,227.0
00d6dc87be4146ceb47fcd4baaaf6477,f19421c1d4aa40978ebb69ca19b0e20d,354,offer completed,5.0,,bogo,1,1,F,58.0,2017-12-11,115000.0,227.0
00d6dc87be4146ceb47fcd4baaaf6477,fafdcd668e3743c1bb461111dcafc2a4,504,offer completed,2.0,,discount,1,1,F,58.0,2017-12-11,115000.0,227.0
00d6dc87be4146ceb47fcd4baaaf6477,4d5c57ea9a6940dd891ad53e9dbe8da0,642,offer completed,10.0,,bogo,1,1,F,58.0,2017-12-11,115000.0,227.0
00d791e20c564add8056498e40eb56cc,2298d6c36e964ae4a3e7e9706d1fb8c2,102,offer completed,3.0,,discount,1,1,M,22.0,2015-12-24,32000.0,945.0
00d791e20c564add8056498e40eb56cc,f19421c1d4aa40978ebb69ca19b0e20d,414,offer completed,5.0,,bogo,1,1,M,22.0,2015-12-24,32000.0,945.0
00d791e20c564add8056498e40eb56cc,9b98b8c7a33c4b65b9aebfe6a799e6d9,582,offer completed,5.0,,bogo,1,1,M,22.0,2015-12-24,32000.0,945.0
00d7c95f793a4212af44e632fdc1e431,4d5c57ea9a6940dd891ad53e9dbe8da0,84,offer completed,10.0,,bogo,1,1,M,71.0,2016-12-29,75000.0,574.0
00d7c95f793a4212af44e632fdc1e431,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,offer completed,5.0,,bogo,1,1,M,71.0,2016-12-29,75000.0,574.0
00d7c95f793a4212af44e632fdc1e431,2906b810c7d4411798c6938adc9daaa5,504,offer completed,2.0,,discount,1,1,M,71.0,2016-12-29,75000.0,574.0
00d7c95f793a4212af44e632fdc1e431,fafdcd668e3743c1bb461111dcafc2a4,666,offer completed,2.0,,discount,1,1,M,71.0,2016-12-29,75000.0,574.0
00d91c5919514448bc4f718e4e3f26ab,ae264e3637204a6fb9bb56bc8210ddfd,708,offer completed,10.0,,bogo,1,1,M,45.0,2018-01-25,88000.0,182.0
00e20b4ca129458aaab0f4727ef3513a,fafdcd668e3743c1bb461111dcafc2a4,426,offer completed,2.0,,discount,1,1,F,82.0,2014-12-11,33000.0,1323.0
00e20b4ca129458aaab0f4727ef3513a,fafdcd668e3743c1bb461111dcafc2a4,618,offer completed,2.0,,discount,1,1,F,82.0,2014-12-11,33000.0,1323.0
00e52682848542c3a6f59b7824e9a5c5,0b1e1539f2cc45b7b9fa7c272da2e1d7,624,offer completed,5.0,,discount,1,1,M,40.0,2016-10-18,65000.0,646.0
00e8d701c583461e81cc10053681a12b,2298d6c36e964ae4a3e7e9706d1fb8c2,324,offer completed,3.0,,discount,1,1,M,35.0,2018-02-26,70000.0,150.0
00e9f403afa641889cd034ee7c7ca6e9,0b1e1539f2cc45b7b9fa7c272da2e1d7,540,offer completed,5.0,,discount,1,1,M,73.0,2016-04-17,45000.0,830.0
00ed7e22b32749cfafbfd88592d401d4,9b98b8c7a33c4b65b9aebfe6a799e6d9,198,offer completed,5.0,,bogo,1,1,M,55.0,2016-07-31,94000.0,725.0
