time,offer_id,person,event,reward_x,offer_type,validity_0,validity_1,gender,age,became_member_on,income,generation,loyality
252,2298d6c36e964ae4a3e7e9706d1fb8c2,0011e0d4e6b944f998e987f904e8c1e5,offer completed,3.0,discount,1,1,O,40.0,2018-01-09,57000.0,30s,198.0
576,0b1e1539f2cc45b7b9fa7c272da2e1d7,0011e0d4e6b944f998e987f904e8c1e5,offer completed,5.0,discount,1,1,O,40.0,2018-01-09,57000.0,30s,198.0
576,9b98b8c7a33c4b65b9aebfe6a799e6d9,0011e0d4e6b944f998e987f904e8c1e5,offer completed,5.0,bogo,1,1,O,40.0,2018-01-09,57000.0,30s,198.0
54,fafdcd668e3743c1bb461111dcafc2a4,0020c2b971eb4e9188eac86d93036a77,offer completed,2.0,discount,1,1,F,59.0,2016-03-04,90000.0,50s,874.0
510,fafdcd668e3743c1bb461111dcafc2a4,0020c2b971eb4e9188eac86d93036a77,offer completed,2.0,discount,1,1,F,59.0,2016-03-04,90000.0,50s,874.0
510,4d5c57ea9a6940dd891ad53e9dbe8da0,0020c2b971eb4e9188eac86d93036a77,offer completed,10.0,bogo,1,1,F,59.0,2016-03-04,90000.0,50s,874.0
222,2298d6c36e964ae4a3e7e9706d1fb8c2,0020ccbbb6d84e358d3414a3ff76cffd,offer completed,3.0,discount,1,1,F,24.0,2016-11-11,60000.0,20s,622.0
378,f19421c1d4aa40978ebb69ca19b0e20d,0020ccbbb6d84e358d3414a3ff76cffd,offer completed,5.0,bogo,1,1,F,24.0,2016-11-11,60000.0,20s,622.0
600,9b98b8c7a33c4b65b9aebfe6a799e6d9,0020ccbbb6d84e358d3414a3ff76cffd,offer completed,5.0,bogo,1,1,F,24.0,2016-11-11,60000.0,20s,622.0
384,fafdcd668e3743c1bb461111dcafc2a4,003d66b6608740288d6cc97a6903f4f0,offer completed,2.0,discount,1,1,F,26.0,2017-06-21,73000.0,20s,400.0
504,fafdcd668e3743c1bb461111dcafc2a4,003d66b6608740288d6cc97a6903f4f0,offer completed,2.0,discount,1,1,F,26.0,2017-06-21,73000.0,20s,400.0
258,fafdcd668e3743c1bb461111dcafc2a4,00426fe3ffde4c6b9cb9ad6d077a13ea,offer completed,2.0,discount,1,1,F,19.0,2016-08-09,65000.0,10s,716.0
534,f19421c1d4aa40978ebb69ca19b0e20d,004b041fbfe44859945daa2c7f79ee64,offer completed,5.0,bogo,1,1,F,55.0,2018-05-08,74000.0,50s,79.0
714,fafdcd668e3743c1bb461111dcafc2a4,004b041fbfe44859945daa2c7f79ee64,offer completed,2.0,discount,1,1,F,55.0,2018-05-08,74000.0,50s,79.0
222,fafdcd668e3743c1bb461111dcafc2a4,004c5799adbf42868b9cff0396190900,offer completed,2.0,discount,1,1,M,54.0,2016-03-31,99000.0,50s,847.0
432,f19421c1d4aa40978ebb69ca19b0e20d,004c5799adbf42868b9cff0396190900,offer completed,5.0,bogo,1,1,M,54.0,2016-03-31,99000.0,50s,847.0
558,f19421c1d4aa40978ebb69ca19b0e20d,004c5799adbf42868b9cff0396190900,offer completed,5.0,bogo,1,1,M,54.0,2016-03-31,99000.0,50s,847.0
576,fafdcd668e3743c1bb461111dcafc2a4,004c5799adbf42868b9cff0396190900,offer completed,2.0,discount,1,1,M,54.0,2016-03-31,99000.0,50s,847.0
132,9b98b8c7a33c4b65b9aebfe6a799e6d9,0056df74b63b4298809f0b375a304cf4,offer completed,5.0,bogo,1,1,M,54.0,2016-08-21,91000.0,50s,704.0
696,2906b810c7d4411798c6938adc9daaa5,0069a50874d846438e58acff5e594725,offer completed,2.0,discount,1,1,,,,,,
666,0b1e1539f2cc45b7b9fa7c272da2e1d7,00715b6e55c3431cb56ff7307eb19675,offer completed,5.0,discount,1,1,F,58.0,2017-12-07,119000.0,50s,231.0
366,9b98b8c7a33c4b65b9aebfe6a799e6d9,0082fd87c18f45f2be70dbcbb0fb8aad,offer completed,5.0,bogo,1,1,F,28.0,2017-09-08,68000.0,20s,321.0
450,9b98b8c7a33c4b65b9aebfe6a799e6d9,0082fd87c18f45f2be70dbcbb0fb8aad,offer completed,5.0,bogo,1,1,F,28.0,2017-09-08,68000.0,20s,321.0
246,fafdcd668e3743c1bb461111dcafc2a4,00840a2ca5d2408e982d56544dc14ffd,offer completed,2.0,discount,1,1,M,26.0,2014-12-21,61000.0,20s,1313.0
540,2906b810c7d4411798c6938adc9daaa5,00840a2ca5d2408e982d56544dc14ffd,offer completed,2.0,discount,1,1,M,26.0,2014-12-21,61000.0,20s,1313.0
6,4d5c57ea9a6940dd891ad53e9dbe8da0,0091d2b6a5ea4defaa8393e4e816db60,offer completed,10.0,bogo,1,1,F,62.0,2016-06-17,81000.0,60s,769.0
300,0b1e1539f2cc45b7b9fa7c272da2e1d7,0091d2b6a5ea4defaa8393e4e816db60,offer completed,5.0,discount,1,1,F,62.0,2016-06-17,81000.0,60s,769.0
408,f19421c1d4aa40978ebb69ca19b0e20d,0091d2b6a5ea4defaa8393e4e816db60,offer completed,5.0,bogo,1,1,F,62.0,2016-06-17,81000.0,60s,769.0
540,f19421c1d4aa40978ebb69ca19b0e20d,0091d2b6a5ea4defaa8393e4e816db60,offer completed,5.0,bogo,1,1,F,62.0,2016-06-17,81000.0,60s,769.0
234,fafdcd668e3743c1bb461111dcafc2a4,0099bf30e4cb4265875266eb3eb25eab,offer completed,2.0,discount,1,1,M,61.0,2018-02-14,66000.0,60s,162.0
534,f19421c1d4aa40978ebb69ca19b0e20d,00a794f62b9a48beb58f8f6c02c2f1a6,offer completed,5.0,bogo,1,1,F,88.0,2015-10-24,54000.0,80s,1006.0
402,2298d6c36e964ae4a3e7e9706d1fb8c2,00ae03011f9f49b8a4b3e6d416678b0b,offer completed,3.0,discount,1,1,M,55.0,2015-11-15,83000.0,50s,984.0
618,ae264e3637204a6fb9bb56bc8210ddfd,00ae03011f9f49b8a4b3e6d416678b0b,offer completed,10.0,bogo,1,1,M,55.0,2015-11-15,83000.0,50s,984.0
618,2298d6c36e964ae4a3e7e9706d1fb8c2,00ae03011f9f49b8a4b3e6d416678b0b,offer completed,3.0,discount,1,1,M,55.0,2015-11-15,83000.0,50s,984.0
156,2298d6c36e964ae4a3e7e9706d1fb8c2,00b18b535d6d4f779dea4dc9ac451478,offer completed,3.0,discount,1,1,M,72.0,2017-04-07,102000.0,70s,475.0
228,2298d6c36e964ae4a3e7e9706d1fb8c2,00b18b535d6d4f779dea4dc9ac451478,offer completed,3.0,discount,1,1,M,72.0,2017-04-07,102000.0,70s,475.0
702,fafdcd668e3743c1bb461111dcafc2a4,00b18b535d6d4f779dea4dc9ac451478,offer completed,2.0,discount,1,1,M,72.0,2017-04-07,102000.0,70s,475.0
606,fafdcd668e3743c1bb461111dcafc2a4,00b3400e4ff64ee68ce9ada1d0c222f0,offer completed,2.0,discount,1,1,M,62.0,2016-08-25,80000.0,60s,700.0
252,ae264e3637204a6fb9bb56bc8210ddfd,00b3c376db2a4115af3aef34a02f61d6,offer completed,10.0,bogo,1,1,M,50.0,2017-06-27,104000.0,40s,394.0
468,2906b810c7d4411798c6938adc9daaa5,00bbce6533f44ddeaf4dd32bcab55441,offer completed,2.0,discount,1,1,M,94.0,2014-11-28,50000.0,90s,1336.0
576,9b98b8c7a33c4b65b9aebfe6a799e6d9,00bbce6533f44ddeaf4dd32bcab55441,offer completed,5.0,bogo,1,1,M,94.0,2014-11-28,50000.0,90s,1336.0
18,2906b810c7d4411798c6938adc9daaa5,00bc42a62f884b41a13cc595856cf7c3,offer completed,2.0,discount,1,1,M,44.0,2016-01-11,72000.0,40s,927.0
390,ae264e3637204a6fb9bb56bc8210ddfd,00bc42a62f884b41a13cc595856cf7c3,offer completed,10.0,bogo,1,1,M,44.0,2016-01-11,72000.0,40s,927.0
486,2298d6c36e964ae4a3e7e9706d1fb8c2,00bc42a62f884b41a13cc595856cf7c3,offer completed,3.0,discount,1,1,M,44.0,2016-01-11,72000.0,40s,927.0
540,2906b810c7d4411798c6938adc9daaa5,00bc42a62f884b41a13cc595856cf7c3,offer completed,2.0,discount,1,1,M,44.0,2016-01-11,72000.0,40s,927.0
618,fafdcd668e3743c1bb461111dcafc2a4,00bc42a62f884b41a13cc595856cf7c3,offer completed,2.0,discount,1,1,M,44.0,2016-01-11,72000.0,40s,927.0
282,ae264e3637204a6fb9bb56bc8210ddfd,00bc983061d3471e8c8e74d31b7c8b6f,offer completed,10.0,bogo,1,1,M,59.0,2017-10-16,77000.0,50s,283.0
54,f19421c1d4aa40978ebb69ca19b0e20d,00c20a9202d5475190b31a24de6fb06d,offer completed,5.0,bogo,1,1,O,52.0,2016-03-06,80000.0,50s,872.0
576,4d5c57ea9a6940dd891ad53e9dbe8da0,00c20a9202d5475190b31a24de6fb06d,offer completed,10.0,bogo,1,1,O,52.0,2016-03-06,80000.0,50s,872.0
594,0b1e1539f2cc45b7b9fa7c272da2e1d7,00c20a9202d5475190b31a24de6fb06d,offer completed,5.0,discount,1,1,O,52.0,2016-03-06,80000.0,50s,872.0
582,4d5c57ea9a6940dd891ad53e9dbe8da0,00c2f812f4604c8893152a5c6572030e,offer completed,10.0,bogo,1,1,F,58.0,2018-06-30,102000.0,50s,26.0
48,fafdcd668e3743c1bb461111dcafc2a4,00c6035df45840038a72766c6d27a0db,offer completed,2.0,discount,1,1,M,47.0,2017-02-25,86000.0,40s,516.0
180,ae264e3637204a6fb9bb56bc8210ddfd,00c6035df45840038a72766c6d27a0db,offer completed,10.0,bogo,1,1,M,47.0,2017-02-25,86000.0,40s,516.0
594,2298d6c36e964ae4a3e7e9706d1fb8c2,00c6035df45840038a72766c6d27a0db,offer completed,3.0,discount,1,1,M,47.0,2017-02-25,86000.0,40s,516.0
342,2298d6c36e964ae4a3e7e9706d1fb8c2,00c91f31f5f74e769fa7a359b63e1a9f,offer completed,3.0,discount,1,1,F,22.0,2016-11-15,49000.0,20s,618.0
666,2298d6c36e964ae4a3e7e9706d1fb8c2,00c91f31f5f74e769fa7a359b63e1a9f,offer completed,3.0,discount,1,1,F,22.0,2016-11-15,49000.0,20s,618.0
564,fafdcd668e3743c1bb461111dcafc2a4,00cf1bbec83f4a658f8994e556db4633,offer completed,2.0,discount,1,1,M,53.0,2018-05-15,73000.0,50s,72.0
564,2906b810c7d4411798c6938adc9daaa5,00cf1bbec83f4a658f8994e556db4633,offer completed,2.0,discount,1,1,M,53.0,2018-05-15,73000.0,50s,72.0
36,9b98b8c7a33c4b65b9aebfe6a799e6d9,00d6dc87be4146ceb47fcd4baaaf6477,offer completed,5.0,bogo,1,1,F,58.0,2017-12-11,115000.0,50s,227.0
354,f19421c1d4aa40978ebb69ca19b0e20d,00d6dc87be4146ceb47fcd4baaaf6477,offer completed,5.0,bogo,1,1,F,58.0,2017-12-11,115000.0,50s,227.0
504,fafdcd668e3743c1bb461111dcafc2a4,00d6dc87be4146ceb47fcd4baaaf6477,offer completed,2.0,discount,1,1,F,58.0,2017-12-11,115000.0,50s,227.0
642,4d5c57ea9a6940dd891ad53e9dbe8da0,00d6dc87be4146ceb47fcd4baaaf6477,offer completed,10.0,bogo,1,1,F,58.0,2017-12-11,115000.0,50s,227.0
102,2298d6c36e964ae4a3e7e9706d1fb8c2,00d791e20c564add8056498e40eb56cc,offer completed,3.0,discount,1,1,M,22.0,2015-12-24,32000.0,20s,945.0
414,f19421c1d4aa40978ebb69ca19b0e20d,00d791e20c564add8056498e40eb56cc,offer completed,5.0,bogo,1,1,M,22.0,2015-12-24,32000.0,20s,945.0
582,9b98b8c7a33c4b65b9aebfe6a799e6d9,00d791e20c564add8056498e40eb56cc,offer completed,5.0,bogo,1,1,M,22.0,2015-12-24,32000.0,20s,945.0
84,4d5c57ea9a6940dd891ad53e9dbe8da0,00d7c95f793a4212af44e632fdc1e431,offer completed,10.0,bogo,1,1,M,71.0,2016-12-29,75000.0,70s,574.0
504,9b98b8c7a33c4b65b9aebfe6a799e6d9,00d7c95f793a4212af44e632fdc1e431,offer completed,5.0,bogo,1,1,M,71.0,2016-12-29,75000.0,70s,574.0
504,2906b810c7d4411798c6938adc9daaa5,00d7c95f793a4212af44e632fdc1e431,offer completed,2.0,discount,1,1,M,71.0,2016-12-29,75000.0,70s,574.0
666,fafdcd668e3743c1bb461111dcafc2a4,00d7c95f793a4212af44e632fdc1e431,offer completed,2.0,discount,1,1,M,71.0,2016-12-29,75000.0,70s,574.0
708,ae264e3637204a6fb9bb56bc8210ddfd,00d91c5919514448bc4f718e4e3f26ab,offer completed,10.0,bogo,1,1,M,45.0,2018-01-25,88000.0,40s,182.0
426,fafdcd668e3743c1bb461111dcafc2a4,00e20b4ca129458aaab0f4727ef3513a,offer completed,2.0,discount,1,1,F,82.0,2014-12-11,33000.0,80s,1323.0
